Ricness,PD,AvTD,EDGE1
2,0.6997155,0.93918882,1.61559520469609
11,1.08202483,0.90455368,13.0604689633536
6,0.76938624,0.71269676,5.98076101035571
0,0,0,0
1,0.303965885,0.34198063,0.734669564265399
14,2.09561577999991,2.26917163666676,14.7715285267331
11,2.03085564,2.41923302,11.7175222408316
11,2.244772895,3.77357835,13.0737118684122
3,0.77983184,1.22527138,3.0781494016792
2,0.282219275,0.36980419,2.22139208867763
12,37.239505635,73.3725988933333,15.5602123256077
5,0.736458789999907,0.702276740000092,5.74531683539219
22,3.65803943,3.95140819833333,24.5274474546149
10,0.83354344,1.26032514,11.5743660452087
24,2.65405306,2.27382948,24.3463136959733
46,4.67585372499991,4.50234563766676,47.5157788823202
67,12.076597565,8.60008774928571,68.5101267920824
4,1.22429869,1.73243572,3.70704409819825
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8,1.938475215,2.27418691,9.244628879385
7,1.59820276,1.85704268,7.23372488009943
75,14.452429935,9.99165722385714,82.0868465299436
6,1.081222105,1.54422344,5.5980882762639
15,0.63745937,0.412882248666667,16.992318684606
14,0.61199377,0.377453308666667,15.7064294244106
10,1.39857437,1.74586988,10.045134195145
6,0.69266452,0.84954744,6.05154542357085
2,0.210685345,0.29401026,2.25290828622547
6,3.071479455,3.27732937333333,5.89127004514606
20,4.24641997,4.09549733,20.598832888004
25,3.71761662,3.54631112166667,28.323084743535
17,4.5797968,2.49565632,19.1066794081324
3,0.72924849,0.97441697,2.33547011948855
6,0.50936236,0.46407521,7.85478794235956
0,0,0,0
0,0,0,0
0,0,0,0
5,0.50892979,0.65804975,4.81707707214289
15,2.43240112,3.086778885,17.6683372270415
3,0.477478345,0.49732668,2.52155776860753
5,0.8032493,0.90280612,4.73489712178161
11,1.45379678,1.96992607333333,12.2158498471091
21,5.284977335,4.45162147666667,23.8467559729258
19,3.57926102999991,4.37837482500009,19.4611729536357
24,3.562994095,4.276199022,26.0507100518134
11,1.273234195,2.050698482,13.323078987269
10,1.218782585,1.56947087666667,12.9933727942007
2,0.005675945,0.0041242,2.08354689637516
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
48,11.35813624,8.082881204,56.3125465669059
78,14.8025485649999,10.0235041320001,86.6097461678889
9,3.39899467,1.6693432,10.1624967430035
12,5.552996885,3.59709936,14.11396847484
1,0.043968385,0.04898785,0.785148209908981
10,1.60509806999991,1.80947625666676,11.9211351393808
1,0.457768715,0.66646699,1.13411244465884
7,3.59049445,3.93802669,9.57519822384659
26,7.20934181999991,7.98662783000009,27.8953487092746
54,12.1518525249999,7.88694571466676,59.8277610501331
11,38.14244927,74.89370869,12.6316700391895
15,1.27467334000001,1.40143541000007,17.9914038431606
11,1.38229941000001,2.03203226000007,14.7798264322686
3,0.414907585,0.52577154,2.25246217586518
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
9,1.77724001,1.95748425,8.42024021181999
4,36.372246305,72.56498803,7.10408458299415
38,8.36589507,4.19787935866667,39.3363140955617
5,0.92610709,0.77024132,4.03112690840491
34,4.12769892999991,3.86918162166676,35.8603936207096
26,3.19016790499991,3.37752279571438,30.1942683789159
62,42.4375351249999,76.6973109960477,66.6221028451902
13,1.062003895,1.208128434,13.0028616716396
19,2.01404555499991,1.81675209633343,21.8251286028001
3,0.215214395,0.28887213,3.25563628229397
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0.456408075,0.80280175,4.31112386766936
35,5.67110240499991,5.45969247833342,35.8653961084983
22,5.211517035,3.61529358666667,27.3314812356329
53,10.75736214,8.439456911,59.7905771519421
3,0.59459152,0.63100684,2.65839667079379
6,2.80707851,3.19314664666666,5.11713924780466
2,0.181220635,0.19224474,3.16173969366508
16,40.279322655,75.7637457883334,19.5454723623346
1,0.231340815,0.29677762,1.12248043084836
21,5.6570399599999,3.59332948200009,24.5545260805664
12,2.769615205,3.14133225666667,14.1808265766006
14,3.31636137,4.48319862,13.4858297623943
2,36.331770225,72.95472772,4.60970729409097
1,0.003171985,0.0071175,1.39824131725868
1,0.02429006,0.0337412,0.799777126729769
2,0.13273445,0.15792957,2.33634282043141
0,0,0,0
19,3.04866800500001,3.24551499000008,21.00186536504
5,1.16620373500001,1.39226709000007,6.16654638554661
0,0,0,0
16,4.39925175,5.18229778,16.1923139174751
15,3.977740085,4.02893506,17.8793160414461
35,5.628428875,4.473193994,37.2168326816409
26,3.980518295,3.40478618666667,28.5424751075994
49,41.1473501849999,4.38985756178582,51.981593566193
14,0.939093045,0.979186613333333,16.7081880485552
22,3.102271995,3.41474304666667,20.1268304004492
4,0.52150302,0.93022332,6.13698513801911
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0.320412439999907,0.287994660000092,1.8507546944743
48,11.8306891349999,9.41692664166676,49.1762908892174
21,6.46839762,3.344640315,22.7317506045046
1,0.4605932,0.77004721,0.875709422077484
27,6.70714917,7.43102202,27.7499097770292
13,3.920316495,3.67966476333333,15.3447447872761
9,2.69670678,3.23006453,8.15422070685022
46,6.72748957999991,6.7034528625239,55.0122137265046
12,1.85009244,1.65485447,11.7186197265531
29,7.724436995,7.85283501035714,29.5376827024622
19,5.4239489,5.04027309,20.8669452101398
0,0,0,0
0,0,0,0
24,4.69105545,2.53372207,27.1856259534901
37,7.76013466,4.780416602,41.7309592217722
2,0.418182205,0.34860417,1.4998769960655
20,3.37290187,4.13863825833333,27.2095787994037
5,0.65092754,0.63065596,5.20594094521928
12,1.585260625,2.17805898,16.3085932199281
0,0,0,0
10,2.445674055,3.98830406,10.1413289561314
16,2.43491494,2.95812224,17.8905983878141
9,1.140693585,1.12277228,8.8405531599368
15,1.33981599,1.45234227666667,15.0868937065826
63,41.2106606249999,3.82527707745247,67.3414988479906
28,3.32089491999991,3.31651021333342,31.3171905991568
17,2.75163475499991,2.20265761833343,23.9615656035658
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,0.36413975,0.23031977,4.23564250873746
3,0.49841914,0.63210232,3.04692191314008
23,4.39626456499991,5.17744865000009,23.262170852621
1,0.17366819,0.24916271,1.18575595097096
2,0.378135525,0.29733419,1.85044698847395
0,0,0,0
0,0,0,0
1,0.233628775,0.39754781,0.764878153783867
7,0.325873145,0.36911167,8.68706090433494
12,3.120523455,3.01651354,15.3245212955435
2,0.41797336,0.38370083,1.76578405832547
2,0.78935055,0.908735199999999,2.12421597337376
7,1.43724783,1.15577507,7.28481712776955
